101	상용구 사전을 사용해주세요.
102	일본어
103	영어
104	프랑스어
105	독일어
106	일본어로 대화해도 될까요?
107	영어로 대화해도 될까요?
108	프랑스어로 대화해도 될까요?
109	독일어로 대화해도 될까요?
110	저는 영어를 못합니다.
111	저는 일본어를 못합니다.
112	저는 프랑스어를 못합니다.
113	저는 독일어를 못합니다.
114	제 말을 들어주세요.
115	들리십니까?
116	간단한 의사소통은 가능합니다.
117	조금은 이해할 수 있습니다.
118	쉬운 단어로 말씀해주세요.
119	줄임말은 사용하지 말아주세요.
120	곧 대답하겠습니다, 잠시만 기다려주세요.
121	모국어는 무엇입니까?
200	【인사】
201	처음 뵙겠습니다.
202	좋은 아침입니다!
203	안녕하세요.
204	오늘 하루 어떠셨나요?
205	안녕히 주무세요.
206	좋은 하루 보내세요.
207	재미있었어요.
208	또 만나요!
209	또 같이 놀아요.
210	다녀왔습니다.
211	어서 오세요.
212	축하합니다!
213	잘하셨어요!
214	힘 내세요!
215	야호!
216	감사합니다.
217	별말씀을요.
218	조심하세요.
219	죄송합니다.
220	용서해주세요.
221	아쉽네요.
222	잠깐만요.
223	즐거운 모험 하시길!
224	여기는 처음 옵니다.
225	기대되네요!
226	수고하셨습니다.
227	잘 부탁합니다!
228	이만 가봐야겠어요. 실례하겠습니다.
229	편하게 합시다!
230	열심히 하겠습니다!
300	【질문】
301	누구세요?
302	어느 쪽인가요?
303	어떻게 할까요?
304	뭐예요?
305	언제인가요?
306	얼마나요?
307	어디인가요?
308	왜 그러세요?
309	이유를 말씀해주세요.
310	어디 가세요?
311	가능하신가요?
312	도와드릴까요?
313	어떤 임무를 할까요?
314	어떤 임무가 가능하세요?
315	가지고 계신가요?
316	지금 어떤 무기를 가지고 계신가요?
317	다른 클래스는 뭐가 가능하신가요?
318	다른 역할은 뭐가 가능하신가요?
319	준비되어 있나요?
320	어떤 작전으로 싸울까요?
321	친구 신청해도 될까요?
322	잠깐 쉬었다 갈까요?
323	수리합시다.
324	수리해주시면 안 될까요?
325	마테리아 장착할까요?
326	마테리아 장착해주시겠어요?
327	파티에 초대해도 될까요?
328	파티에 초대해주시겠어요?
329	파티를 해체할까요?
330	링크셸에 초대해도 될까요?
331	링크셸에 초대해주시겠어요?
332	자유부대에 초대해도 될까요?
333	자유부대에 초대해주시겠어요?
334	뭐 하고 계시나요?
335	카드 대결 하실래요?
336	규칙을 바꾸고 싶어요.
337	대회 대결 하실래요?
338	MP는 괜찮으세요?
339	모르는 점이 있으신가요?
340	보셨나요?
341	공략 방법은 아시나요?
400	【대답】
401	모르겠어요.
402	필요 없어요.
403	네, 부탁합니다.
404	부탁합니다.
405	알겠습니다.
406	지금은 바쁘니 나중에 이야기해요.
407	지금은 혼자 다니고 싶어요.
408	대답하고 싶지만 어떻게 말해야 할지 모르겠어요.
409	그렇군요.
410	말씀은 감사하지만 사양할게요.
411	흐음.
412	음…
413	뭐!?
414	정말?
415	으으음.
416	다른 약속이 있어요.
417	재대결하고 싶습니다.
418	대결을 마치고 싶습니다.
419	잠시 중단하고 싶습니다.
420	그럴지도 모릅니다.
500	【이유】
501	시전 중입니다.
502	일하러 갈 시간입니다.
503	약속이 있습니다.
504	자러 갈 겁니다.
505	힘들어요.
506	볼일이 있어서 그만 가볼게요.
507	몸이 안 좋습니다.
508	내키지 않습니다.
509	재미있을 것 같네요.
510	임무 중입니다.
511	전투 중입니다.
512	돈 벌러 가야 합니다.
513	기억이 안 납니다.
514	모릅니다.
515	방금 사용했습니다.
516	경험치를 벌고 싶습니다.
517	실수했습니다.
518	이미 참가 중입니다.
519	이미 가지고 있습니다.
520	모집이 끝났습니다.
521	준비 중입니다.
522	바쁩니다.
523	잡담을 나누고 있습니다.
524	키보드를 안 쓰고 있습니다.
525	탐색 중입니다.
600	【교환】
601	주시면 안 될까요?
602	해 주시면 안 될까요?
603	깎아 주시면 안 될까요?
604	사 주시면 안 될까요?
605	파시면 안 될까요?
606	교환하시겠어요?
607	필요 없으신가요?
608	제작 가능하신가요?
609	가지고 계신가요?
610	필요한 재료를 알려주세요.
611	돈이 없습니다.
612	아이템이 없습니다.
613	줄 수 있는 게 없습니다.
614	이걸 드리겠습니다.
615	주세요.
616	보상:
617	가격:
618	우편물
700	【편성】
701	모집 중입니다.
702	모여주세요.
703	함께 하실래요?
704	한 분이신가요?
705	빈자리 있나요?
706	초대해주세요.
707	참가하고 싶습니다.
708	리더가 누구인가요?
709	짧게 도는 것도 괜찮습니다.
710	파티에 빈자리가 없습니다.
711	도와주세요.
712	파티 해체하겠습니다.
713	자리 비우겠습니다.
714	파티에 참가하고 싶습니다.
715	소규모 파티
716	대규모 파티
717	아직 익숙하지 않습니다.
800	【전술】
801	따라오세요.
802	따라가겠습니다.
803	조사해주세요.
804	찾았어요!
805	전력을 다해 공격하세요!
806	뒤로 물러나주세요.
807	적개심 수치에 주의하세요.
808	이거 먼저 처치할게요!
809	공격하지 마세요.
810	발을 묶어주세요!
811	효과 없애주세요!
812	회복해주세요!
813	걸어주세요!
814	도망쳐요!
815	도와주세요!
816	멈추세요!
817	대기하세요.
818	없어졌습니다.
819	없습니다.
820	아껴 쓰세요.
821	아껴 쓰겠습니다.
822	장비 내구도가 떨어졌습니다.
823	준비완료!
824	표식을 설정해주세요.
825	이거 쓰세요.
826	조금만 쉴게요.
827	적을 끌고 오겠습니다.
828	적은 제가 맡을게요.
829	잠깐만요.
830	현지에서 모이죠.
831	이동합니다.
832	그 자리에 있으세요.
833	지금 그쪽으로 갈게요.
834	금방 돌아올게요.
835	주사위 굴려주세요.
836	약점:
837	주의:
838	추천:
839	토벌 순서:
840	원하는 것:
841	적개심 끌어주세요.
842	적이 다가옵니다!
843	신경 쓰지 마세요.
844	무시하세요.
845	교대
846	교대해주세요!
847	제가 먼저 공격하겠습니다!
848	천천히 진행합시다.
849	실행해주세요!
900	【역할】
901	파티장
902	부대장
903	투사
904	마법사
905	채집가
906	제작자
907	방어 역할
908	근거리 공격 역할
909	원거리 공격 역할
910	회복 역할
911	강화 역할
912	마법 공격 역할
913	공격 역할
950	【위치】
951	위치
952	북쪽
953	남쪽
954	동쪽
955	서쪽
956	위쪽
957	아래쪽
958	오른쪽
959	왼쪽
960	앞
961	뒤
962	옆
963	정면
964	중앙
965	측면
966	안쪽
967	바깥쪽
968	이쪽
969	저쪽
970	그쪽
971	좀 더 가까이
